Cover,Distance,p,pmin,pmax
Non-covered,25.98115311,46.22531901,43.86825407,48.58238395
Non-covered,26.26816681,46.12027782,43.78050525,48.46005039
Non-covered,26.55835115,46.01265831,43.68982302,48.3354936
Non-covered,26.85174115,45.90241086,43.59612722,48.2086945
Non-covered,27.14837224,45.78948564,43.49933722,48.07963406
Non-covered,27.4482802,45.67383265,43.39937214,47.94829317
Non-covered,27.75150125,45.55540178,43.29615098,47.81465258
Non-covered,28.05807198,45.43414284,43.18959292,47.67869277
Non-covered,28.3680294,45.31000564,43.07961748,47.5403938
Non-covered,28.68141091,45.18294003,42.96614483,47.39973522
Non-covered,28.99825435,45.05289594,42.84909602,47.25669587
Non-covered,29.31859796,44.91982351,42.72839324,47.11125377
Non-covered,29.6424804,44.78367306,42.60396018,46.96338595
Non-covered,29.96994077,44.64439526,42.47572225,46.81306827
Non-covered,30.30101859,44.50194111,42.34360694,46.66027528
Non-covered,30.63575383,44.35626207,42.20754411,46.50498003
Non-covered,30.97418689,44.20731013,42.06746631,46.34715395
Non-covered,31.31635861,44.05503789,41.92330911,46.18676667
Non-covered,31.66231031,43.89939862,41.77501139,46.02378586
Non-covered,32.01208373,43.74034639,41.62251563,45.85817715
Non-covered,32.3657211,43.57783612,41.46576825,45.68990399
Non-covered,32.7232651,43.4118237,41.30471983,45.51892757
Non-covered,33.08475889,43.24226608,41.13932542,45.34520674
Non-covered,33.45024609,43.06912136,40.96954471,45.16869801
Non-covered,33.81977084,42.89234891,40.79534231,44.9893555
Non-covered,34.19337772,42.71190945,40.61668792,44.80713097
Non-covered,34.57111183,42.52776518,40.43355645,44.62197391
Non-covered,34.95301878,42.33987988,40.24592817,44.43383159
Non-covered,35.33914464,42.14821903,40.05378885,44.24264922
Non-covered,35.72953604,41.9527499,39.85712974,44.04837007
Non-covered,36.12424009,41.7534417,39.6559477,43.8509357
Non-covered,36.52330444,41.55026565,39.45024513,43.65028617
Non-covered,36.92677724,41.34319516,39.24003,43.44636032
Non-covered,37.33470721,41.13220589,39.02531578,43.239096
Non-covered,37.74714358,40.91727591,38.80612137,43.02843045
Non-covered,38.16413614,40.6983858,38.58247104,42.81430057
Non-covered,38.58573521,40.47551879,38.35439424,42.59664334
Non-covered,39.01199168,40.24866084,38.12192557,42.37539611
Non-covered,39.442957,40.01780081,37.88510455,42.15049707
Non-covered,39.8786832,39.78293054,37.64397553,41.92188556
Non-covered,40.31922287,39.544045,37.39858749,41.68950252
Non-covered,40.76462917,39.30114237,37.14899388,41.45329086
Non-covered,41.21495587,39.05422417,36.89525244,41.2131959
Non-covered,41.67025734,38.80329538,36.63742506,40.96916571
Non-covered,42.13058851,38.54836454,36.37557753,40.72115155
Non-covered,42.59600497,38.28944383,36.10977943,40.46910823
Non-covered,43.06656287,38.02654921,35.84010391,40.21299452
Non-covered,43.54231903,37.75970049,35.56662752,39.95277345
Non-covered,44.02333087,37.4889214,35.28943007,39.68841273
Non-covered,44.50965644,37.21423973,35.00859441,39.41988505
Non-covered,45.00135445,36.93568735,34.7242063,39.14716841
Non-covered,45.49848424,36.65330031,34.4363542,38.87024643
Non-covered,46.00110582,36.3671189,34.14512916,38.58910864
Non-covered,46.50927987,36.07718769,33.85062463,38.30375075
Non-covered,47.02306771,35.7835556,33.55293631,38.01417489
Non-covered,47.54253136,35.48627592,33.25216197,37.72038987
