state,location,wind,distance,rep,height
Michigan,Transect B,downwind,75,6,49
Michigan,Transect B,downwind,75,7,51
Michigan,Transect B,downwind,75,8,48
Michigan,Transect B,downwind,75,9,50
Michigan,Transect B,downwind,75,10,46
Michigan,Transect B,downwind,89.9,1,42
Michigan,Transect B,downwind,89.9,2,34
Michigan,Transect B,downwind,89.9,3,42
Michigan,Transect B,downwind,89.9,4,39
Michigan,Transect B,downwind,89.9,5,38
Michigan,Transect B,downwind,89.9,6,37
Michigan,Transect B,downwind,89.9,7,39
Michigan,Transect B,downwind,89.9,8,39
Michigan,Transect B,downwind,89.9,9,38
Michigan,Transect B,downwind,89.9,10,40
Michigan,Transect B,downwind,104.9,1,45
Michigan,Transect B,downwind,104.9,2,45
Michigan,Transect B,downwind,104.9,3,49
Michigan,Transect B,downwind,104.9,4,43
Michigan,Transect B,downwind,104.9,5,50
Michigan,Transect B,downwind,104.9,6,49
Michigan,Transect B,downwind,104.9,7,51
Michigan,Transect B,downwind,104.9,8,50
Michigan,Transect B,downwind,104.9,9,48
Michigan,Transect B,downwind,104.9,10,51
Michigan,Transect B,downwind,119.8,1,57
Michigan,Transect B,downwind,119.8,2,54
Michigan,Transect B,downwind,119.8,3,56
Michigan,Transect B,downwind,119.8,4,56
Michigan,Transect B,downwind,119.8,5,57
Michigan,Transect B,downwind,119.8,6,62
Michigan,Transect B,downwind,119.8,7,55
Michigan,Transect B,downwind,119.8,8,56
Michigan,Transect B,downwind,119.8,9,56
Michigan,Transect B,downwind,119.8,10,59
Michigan,Transect C,downwind,0,1,52
Michigan,Transect C,downwind,0,2,50
Michigan,Transect C,downwind,0,3,52
Michigan,Transect C,downwind,0,4,50
Michigan,Transect C,downwind,0,5,45
Michigan,Transect C,downwind,0,6,
Michigan,Transect C,downwind,0,7,
Michigan,Transect C,downwind,0,8,
Michigan,Transect C,downwind,0,9,
Michigan,Transect C,downwind,0,10,
Michigan,Transect C,downwind,0.8,1,48
Michigan,Transect C,downwind,0.8,2,50
Michigan,Transect C,downwind,0.8,3,52
Michigan,Transect C,downwind,0.8,4,53
Michigan,Transect C,downwind,0.8,5,46
Michigan,Transect C,downwind,0.8,6,
Michigan,Transect C,downwind,0.8,7,
Michigan,Transect C,downwind,0.8,8,
Michigan,Transect C,downwind,0.8,9,
Michigan,Transect C,downwind,0.8,10,
Michigan,Transect C,downwind,1.5,1,50
Michigan,Transect C,downwind,1.5,2,46
Michigan,Transect C,downwind,1.5,3,50
Michigan,Transect C,downwind,1.5,4,50
Michigan,Transect C,downwind,1.5,5,46
Michigan,Transect C,downwind,1.5,6,
Michigan,Transect C,downwind,1.5,7,
Michigan,Transect C,downwind,1.5,8,
Michigan,Transect C,downwind,1.5,9,
Michigan,Transect C,downwind,1.5,10,
Michigan,Transect C,downwind,2.3,1,50
Michigan,Transect C,downwind,2.3,2,48
Michigan,Transect C,downwind,2.3,3,52
Michigan,Transect C,downwind,2.3,4,44
Michigan,Transect C,downwind,2.3,5,50
Michigan,Transect C,downwind,2.3,6,
Michigan,Transect C,downwind,2.3,7,
Michigan,Transect C,downwind,2.3,8,
Michigan,Transect C,downwind,2.3,9,
Michigan,Transect C,downwind,2.3,10,
Michigan,Transect C,downwind,3,1,47
Michigan,Transect C,downwind,3,2,47
Michigan,Transect C,downwind,3,3,48
Michigan,Transect C,downwind,3,4,44
Michigan,Transect C,downwind,3,5,50
Michigan,Transect C,downwind,3,6,
Michigan,Transect C,downwind,3,7,
Michigan,Transect C,downwind,3,8,
Michigan,Transect C,downwind,3,9,
Michigan,Transect C,downwind,3,10,
Michigan,Transect C,downwind,4,1,55
Michigan,Transect C,downwind,4,2,50
Michigan,Transect C,downwind,4,3,56
Michigan,Transect C,downwind,4,4,56
Michigan,Transect C,downwind,4,5,48
Michigan,Transect C,downwind,4,6,50
Michigan,Transect C,downwind,4,7,54
Michigan,Transect C,downwind,4,8,52
Michigan,Transect C,downwind,4,9,48
Michigan,Transect C,downwind,4,10,48
Michigan,Transect C,downwind,7.9,1,50
Michigan,Transect C,downwind,7.9,2,52
Michigan,Transect C,downwind,7.9,3,52
Michigan,Transect C,downwind,7.9,4,51
Michigan,Transect C,downwind,7.9,5,50
Michigan,Transect C,downwind,7.9,6,50
Michigan,Transect C,downwind,7.9,7,54
Michigan,Transect C,downwind,7.9,8,53
Michigan,Transect C,downwind,7.9,9,52
Michigan,Transect C,downwind,7.9,10,49
Michigan,Transect C,downwind,15.8,1,40
Michigan,Transect C,downwind,15.8,2,40
Michigan,Transect C,downwind,15.8,3,42
Michigan,Transect C,downwind,15.8,4,41
Michigan,Transect C,downwind,15.8,5,39
Michigan,Transect C,downwind,15.8,6,45
Michigan,Transect C,downwind,15.8,7,40
Michigan,Transect C,downwind,15.8,8,37
Michigan,Transect C,downwind,15.8,9,39
Michigan,Transect C,downwind,15.8,10,40
Michigan,Transect C,downwind,30.5,1,50
Michigan,Transect C,downwind,30.5,2,50
Michigan,Transect C,downwind,30.5,3,51
Michigan,Transect C,downwind,30.5,4,52
Michigan,Transect C,downwind,30.5,5,48
Michigan,Transect C,downwind,30.5,6,50
Michigan,Transect C,downwind,30.5,7,57
Michigan,Transect C,downwind,30.5,8,52
Michigan,Transect C,downwind,30.5,9,51
Michigan,Transect C,downwind,30.5,10,53
Michigan,Transect C,downwind,44.8,1,45
Michigan,Transect C,downwind,44.8,2,42
Michigan,Transect C,downwind,44.8,3,46
Michigan,Transect C,downwind,44.8,4,50
Michigan,Transect C,downwind,44.8,5,42
Michigan,Transect C,downwind,44.8,6,50
Michigan,Transect C,downwind,44.8,7,47
Michigan,Transect C,downwind,44.8,8,48
Michigan,Transect C,downwind,44.8,9,48
Michigan,Transect C,downwind,44.8,10,46
Michigan,Transect C,downwind,59.7,1,40
Michigan,Transect C,downwind,59.7,2,47
Michigan,Transect C,downwind,59.7,3,52
Michigan,Transect C,downwind,59.7,4,44
Michigan,Transect C,downwind,59.7,5,48
Michigan,Transect C,downwind,59.7,6,45
Michigan,Transect C,downwind,59.7,7,46
Michigan,Transect C,downwind,59.7,8,45
Michigan,Transect C,downwind,59.7,9,49
Michigan,Transect C,downwind,59.7,10,46
Michigan,Transect C,downwind,75,1,40
Michigan,Transect C,downwind,75,2,40
Michigan,Transect C,downwind,75,3,39
Michigan,Transect C,downwind,75,4,38
Michigan,Transect C,downwind,75,5,46
Michigan,Transect C,downwind,75,6,34
Michigan,Transect C,downwind,75,7,33
Michigan,Transect C,downwind,75,8,35
Michigan,Transect C,downwind,75,9,36
Michigan,Transect C,downwind,75,10,37
Michigan,Transect C,downwind,89.9,1,34
Michigan,Transect C,downwind,89.9,2,32
Michigan,Transect C,downwind,89.9,3,30
Michigan,Transect C,downwind,89.9,4,30
Michigan,Transect C,downwind,89.9,5,34
Michigan,Transect C,downwind,89.9,6,34
Michigan,Transect C,downwind,89.9,7,32
Michigan,Transect C,downwind,89.9,8,40
Michigan,Transect C,downwind,89.9,9,42
Michigan,Transect C,downwind,89.9,10,38
Michigan,Transect C,downwind,104.9,1,30
Michigan,Transect C,downwind,104.9,2,29
Michigan,Transect C,downwind,104.9,3,30
Michigan,Transect C,downwind,104.9,4,29
Michigan,Transect C,downwind,104.9,5,34
Michigan,Transect C,downwind,104.9,6,32
