Row,Distance,Location,Cover,Rep,Injury,Height,DAT
19,9,N-3,No,2,2,58,14
19,9,N-3,No,3,2,59,14
20,9.5,N-3,No,1,2,57,14
20,9.5,N-3,No,2,2,58,14
20,9.5,N-3,No,3,2,59,14
21,10,N-3,No,1,2,55,14
21,10,N-3,No,2,2,57,14
21,10,N-3,No,3,2,59,14
1,0,S-1,Yes,1,0,51,14
1,0,S-1,Yes,2,0,53,14
1,0,S-1,Yes,3,0,54,14
2,0.5,S-1,Yes,1,0,51,14
2,0.5,S-1,Yes,2,5,51,14
2,0.5,S-1,Yes,3,1,51,14
3,1,S-1,Yes,1,0,46,14
3,1,S-1,Yes,2,1,51,14
3,1,S-1,Yes,3,1,48,14
4,1.5,S-1,Yes,1,0,56,14
4,1.5,S-1,Yes,2,0,51,14
4,1.5,S-1,Yes,3,0,56,14
5,2,S-1,Yes,1,0,48,14
5,2,S-1,Yes,2,0,46,14
5,2,S-1,Yes,3,0,53,14
6,2.5,S-1,Yes,1,0,43,14
6,2.5,S-1,Yes,2,0,46,14
6,2.5,S-1,Yes,3,0,46,14
7,3,S-1,Yes,1,0,43,14
7,3,S-1,Yes,2,0,48,14
7,3,S-1,Yes,3,0,46,14
8,3.5,S-1,Yes,1,0,46,14
8,3.5,S-1,Yes,2,0,48,14
8,3.5,S-1,Yes,3,0,51,14
9,4,S-1,Yes,1,0,48,14
9,4,S-1,Yes,2,0,51,14
9,4,S-1,Yes,3,0,48,14
10,4.5,S-1,Yes,1,0,51,14
10,4.5,S-1,Yes,2,0,56,14
10,4.5,S-1,Yes,3,0,56,14
11,5,S-1,Yes,1,0,51,14
11,5,S-1,Yes,2,0,53,14
11,5,S-1,Yes,3,0,46,14
12,5.5,S-1,Yes,1,0,51,14
12,5.5,S-1,Yes,2,0,53,14
12,5.5,S-1,Yes,3,0,48,14
13,6,S-1,Yes,1,0,46,14
13,6,S-1,Yes,2,0,43,14
13,6,S-1,Yes,3,0,46,14
14,6.5,S-1,Yes,1,0,53,14
14,6.5,S-1,Yes,2,0,51,14
14,6.5,S-1,Yes,3,0,56,14
15,7,S-1,Yes,1,0,53,14
15,7,S-1,Yes,2,0,51,14
15,7,S-1,Yes,3,0,56,14
16,7.5,S-1,Yes,1,0,56,14
16,7.5,S-1,Yes,2,0,56,14
16,7.5,S-1,Yes,3,0,56,14
17,8,S-1,Yes,1,0,56,14
17,8,S-1,Yes,2,0,56,14
17,8,S-1,Yes,3,0,58,14
18,8.5,S-1,Yes,1,0,56,14
18,8.5,S-1,Yes,2,0,53,14
18,8.5,S-1,Yes,3,0,51,14
19,9,S-1,Yes,1,0,53,14
19,9,S-1,Yes,2,0,51,14
19,9,S-1,Yes,3,0,58,14
20,9.5,S-1,Yes,1,0,56,14
20,9.5,S-1,Yes,2,0,58,14
20,9.5,S-1,Yes,3,0,48,14
21,10,S-1,Yes,1,0,53,14
21,10,S-1,Yes,2,0,54,14
21,10,S-1,Yes,3,0,55,14
1,0,S-1,No,1,,,14
1,0,S-1,No,2,,,14
1,0,S-1,No,3,,,14
2,0.5,S-1,No,1,0,48,14
2,0.5,S-1,No,2,0,46,14
2,0.5,S-1,No,3,1,48,14
3,1,S-1,No,1,2,43,14
3,1,S-1,No,2,0,46,14
3,1,S-1,No,3,0,43,14
4,1.5,S-1,No,1,0,49,14
4,1.5,S-1,No,2,0,56,14
4,1.5,S-1,No,3,0,47,14
5,2,S-1,No,1,0,46,14
5,2,S-1,No,2,0,48,14
5,2,S-1,No,3,0,42,14
6,2.5,S-1,No,1,0,44,14
6,2.5,S-1,No,2,0,43,14
6,2.5,S-1,No,3,0,44,14
7,3,S-1,No,1,0,41,14
7,3,S-1,No,2,0,46,14
7,3,S-1,No,3,0,45,14
8,3.5,S-1,No,1,0,45,14
8,3.5,S-1,No,2,0,49,14
8,3.5,S-1,No,3,0,51,14
9,4,S-1,No,1,0,54,14
9,4,S-1,No,2,0,51,14
9,4,S-1,No,3,0,56,14
10,4.5,S-1,No,1,0,44,14
10,4.5,S-1,No,2,0,47,14
10,4.5,S-1,No,3,0,48,14
11,5,S-1,No,1,0,48,14
11,5,S-1,No,2,0,52,14
11,5,S-1,No,3,0,52,14
12,5.5,S-1,No,1,0,51,14
12,5.5,S-1,No,2,0,51,14
12,5.5,S-1,No,3,0,51,14
13,6,S-1,No,1,0,45,14
13,6,S-1,No,2,0,44,14
13,6,S-1,No,3,0,49,14
14,6.5,S-1,No,1,0,55,14
14,6.5,S-1,No,2,0,56,14
14,6.5,S-1,No,3,0,50,14
15,7,S-1,No,1,0,57,14
15,7,S-1,No,2,0,58,14
15,7,S-1,No,3,0,59,14
16,7.5,S-1,No,1,0,61,14
16,7.5,S-1,No,2,0,58,14
16,7.5,S-1,No,3,0,58,14
17,8,S-1,No,1,0,62,14
17,8,S-1,No,2,0,59,14
17,8,S-1,No,3,0,59,14
18,8.5,S-1,No,1,0,57,14
18,8.5,S-1,No,2,0,58,14
18,8.5,S-1,No,3,0,59,14
19,9,S-1,No,1,0,54,14
19,9,S-1,No,2,0,55,14
19,9,S-1,No,3,0,58,14
20,9.5,S-1,No,1,0,55,14
20,9.5,S-1,No,2,0,56,14
20,9.5,S-1,No,3,0,54,14
21,10,S-1,No,1,0,59,14
21,10,S-1,No,2,0,56,14
21,10,S-1,No,3,0,53,14
11,5,N-1,No,1,25,80,28
11,5,N-1,No,2,25,84,28
11,5,N-1,No,3,25,81,28
12,5.5,N-1,No,1,25,80,28
12,5.5,N-1,No,2,20,82,28
12,5.5,N-1,No,3,25,80,28
13,6,N-1,No,1,20,81,28
13,6,N-1,No,2,20,78,28
13,6,N-1,No,3,20,77,28
14,6.5,N-1,No,1,20,79,28
14,6.5,N-1,No,2,15,79,28
14,6.5,N-1,No,3,20,79,28
15,7,N-1,No,1,15,83,28
15,7,N-1,No,2,20,78,28
15,7,N-1,No,3,15,82,28
16,7.5,N-1,No,1,15,83,28
16,7.5,N-1,No,2,15,84,28
16,7.5,N-1,No,3,20,80,28
17,8,N-1,No,1,15,88,28
17,8,N-1,No,2,15,84,28
17,8,N-1,No,3,10,83,28
18,8.5,N-1,No,1,10,84,28
18,8.5,N-1,No,2,10,86,28
18,8.5,N-1,No,3,10,84,28
19,9,N-1,No,1,10,85,28
19,9,N-1,No,2,10,86,28
19,9,N-1,No,3,10,82,28
20,9.5,N-1,No,1,5,82,28
20,9.5,N-1,No,2,5,82,28
20,9.5,N-1,No,3,8,86,28
21,10,N-1,No,1,5,82,28
21,10,N-1,No,2,2,85,28
21,10,N-1,No,3,5,87,28
25,12.5,N-1,No,1,3,75,28
25,12.5,N-1,No,2,2,78,28
25,12.5,N-1,No,3,2,74,28
29,14.5,N-1,No,1,2,85,28
29,14.5,N-1,No,2,1,88,28
29,14.5,N-1,No,3,1,87,28
33,16.5,N-1,No,1,1,86,28
33,16.5,N-1,No,2,2,83,28
33,16.5,N-1,No,3,3,88,28
37,18.5,N-1,No,1,1,87,28
37,18.5,N-1,No,2,1,90,28
37,18.5,N-1,No,3,2,88,28
41,20.5,N-1,No,1,1,87,28
41,20.5,N-1,No,2,10,88,28
41,20.5,N-1,No,3,2,88,28
45,22.5,N-1,No,1,2,88,28
45,22.5,N-1,No,2,1,87,28
45,22.5,N-1,No,3,1,89,28
49,24.5,N-1,No,1,1,83,28
49,24.5,N-1,No,2,2,88,28
49,24.5,N-1,No,3,1,80,28
53,26.5,N-1,No,1,1,83,28
53,26.5,N-1,No,2,1,88,28
53,26.5,N-1,No,3,1,86,28
57,28.5,N-1,No,1,1,83,28
57,28.5,N-1,No,2,1,83,28
57,28.5,N-1,No,3,0,83,28
61,30.5,N-1,No,1,0,84,28
61,30.5,N-1,No,2,0,80,28
61,30.5,N-1,No,3,0,83,28
1,0,N-2,No,1,,,28
1,0,N-2,No,2,,,28
1,0,N-2,No,3,,,28
2,0.5,N-2,No,1,45,70,28
2,0.5,N-2,No,2,45,84,28
2,0.5,N-2,No,3,50,82,28
3,1,N-2,No,1,45,86,28
3,1,N-2,No,2,40,77,28
3,1,N-2,No,3,50,79,28
4,1.5,N-2,No,1,50,80,28
4,1.5,N-2,No,2,45,80,28
4,1.5,N-2,No,3,45,81,28
5,2,N-2,No,1,45,81,28
5,2,N-2,No,2,45,84,28
5,2,N-2,No,3,45,81,28
6,2.5,N-2,No,1,40,75,28
6,2.5,N-2,No,2,40,85,28
6,2.5,N-2,No,3,40,86,28
7,3,N-2,No,1,40,85,28
7,3,N-2,No,2,40,90,28
7,3,N-2,No,3,40,83,28
8,3.5,N-2,No,1,35,89,28
8,3.5,N-2,No,2,35,85,28
8,3.5,N-2,No,3,35,83,28
9,4,N-2,No,1,35,86,28
9,4,N-2,No,2,30,84,28
9,4,N-2,No,3,30,85,28
10,4.5,N-2,No,1,25,85,28
10,4.5,N-2,No,2,25,85,28
10,4.5,N-2,No,3,35,85,28
11,5,N-2,No,1,25,83,28
11,5,N-2,No,2,25,84,28
11,5,N-2,No,3,30,84,28
12,5.5,N-2,No,1,30,84,28
12,5.5,N-2,No,2,25,85,28
12,5.5,N-2,No,3,25,85,28
